date,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2018-07-24,60121.163749,487117211.6818982,326329.0,32980.508325,266991169.60952124
2018-07-25,48257.649124,398119757.8038501,277935.0,25447.806526,209867505.7687837
2018-07-26,43223.481682,352101207.6799552,235681.0,22366.994995,182431837.4994889
2018-07-27,43671.005891,350881696.75270694,227397.0,23168.935319,186142745.1886693
2018-07-28,26215.173839,214357817.0314018,144170.0,13976.708689,114326656.22009628
2018-07-29,25531.226185,209564023.05224952,144331.0,14226.697109,116797668.8754396
2018-07-30,39692.416542,321599782.180698,206911.0,20676.100069,167753771.91739196
2018-07-31,48296.915587,379841367.20240223,239132.0,24273.184891,190885799.45286345
2018-08-01,42582.312932,322252070.44348675,208008.0,22159.785618,167734477.27458394
2018-08-02,37665.696684,285656680.7015636,175627.0,21216.838126,160971512.85409075
